Ref. Des.,QTY,Value,MPN,Description
"C1, C5",2,10u,TMK316B7106KL-TD,CAPACITOR MLCC X7R 10u 1206 25V ±10%
"C2, C6, C7",3,100n,MC0603B104K500CT,CAPACITOR MLCC 100NF X7R 0603 50V ±10%
"C3, C4",2,47p,MC0603N470J500CT,CAPACITOR MLCC 47PF C0G/NP0 0603 50V ±5%
"C8, C9",2,22p,MC0603N220J500CT,CAPACITOR MLCC 22PF C0G/NP0 0603 50V ±5%
D1,1,APT1608SGC,APT1608SGC,LED GREEN CLEAR CHIP SMD 0603
"D2, D3",2,APT1608EC,APT1608EC,LED RED CLEAR CHIP SMD 0603
D4,1,S1A,S1A,DIODE RECTIFIER 50V 1A SMA
IC1,1,FT230X,FT230XS-R,USB-to-UART 1-CH 512byte FIFO 5V 16-Pin SSOP
ICSP,1,SOICBite,SOICBite,SOICBite ISCP
J1,1,KUSBX-SMT2AP5S-W,KUSBX-SMT2AP5S-W,USB CONNECTOR TYPE A  MALE SMD
J2,1,10129379-905001BLF,10129379-905001BLF,HEADER MALE 90° 1X5 PINS
"R1, R2",2,27R,CRCW060327R0FKEA,RESISTOR 27 OHM 1% 1/10W 0603
R3,1,4.7k,CRCW06034K70FKEA,RESISTOR 4.7K OHM 1% 1/10W 0603
"R4, R8",2,10k,CRCW060310K0FKEA,RESISTOR 10K OHM 1% 1/10W 0603
"R5, R6, R7",3,330R,CRCW0603330RFKEA,RESISTOR 330R OHM 1% 1/10W 0603
U1,1,ATMEGA328PB-AU,ATMEGA328PB-AU,IC MCU 8BIT 32KB FLASH 32TQFP
X1,1,ABM10-166-12.000MHZ-T3,ABM10-166-12.000MHZ-T3,CRYSTAL 12 MHz SMD 28 pF 10 ppm
